Selection,Push Up,Full-Coverage,Wireless,Sport Bra,Lightly Lined,Strapless,Unlined,T-Shirt Bras,Matching Sets
Color (preferred),Black,Nude,Black,"Berrylicious (07ZP)",Nude,Nude,Black,Nude,Black
Color (fallback #1),Nude,Black,Nude,Black,Black,Black,Nude,Black,Nude
Color (fallback #2),White,White,White,White,White,White,White,White,White
Bands (ordered),34|32|36|38|40,34|32|36|38|40,34|32|36|38|40,34|32|36|38|40,34|32|36|38|40,34|32|36|38|40,34|32|36|38|40,34|32|36|38|40,34|32|36|38|40
Cup (preferred),B,C,B,C,B,B,B,B,B
Cup (fallback),C,B,C,B,C,C,C,C,C
Panty size (Matching Sets only),,,,,,,,,M
Quantity,1,1,1,1,1,1,1,1,1
Result (PASS/FAIL),,,,,,,,,
Notes / Failure reason / Evidence link,,,,,,,,,
